Desc	Family ID	S_dalli	E_babai	V_penis	S_velum	T_virginea	A_californica	C_concholepas	H_cracherodii	D_sirenkoi	V_oligotropha	L_scabra	C_septemvalvis	S_philippinensis	N_pompilius	N_megatrapezata	L_anatina	S_atlantica	A_discrepans	P_vernedei	O_vulgaris
(null)	OG0000123	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
(null)	OG0000124	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000125	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
(null)	OG0000126	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000127	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000128	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
(null)	OG0000129	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000130	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000131	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000132	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000133	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000134	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
(null)	OG0000136	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000137	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000138	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
(null)	OG0000139	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
(null)	OG0000140	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000141	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
